tconst	ordering	nconst	category	job	characters
tt0120723	3	nm0000815	actress	\N	"[""Samantha Andrews""]"

tt0120748	10	nm0315339	actress	\N	"[""Béatrice Levallet""]"

tt0120748	2	nm0597917	actress	\N	"[""Hélène Lafleur""]"

tt0120748	3	nm0312710	actor	\N	"[""Laurent St-Pierre""]"

tt0120787	2	nm0000569	actress	\N	"[""Emily Bradford Taylor""]"

tt0120854	3	nm0004381	actress	\N	"[""Nadia""]"

tt0120871	2	nm0146061	actress	\N	"[""Mimi""]"

tt0120888	2	nm0000106	actress	\N	"[""Julia Sullivan""]"

tt0120888	3	nm0852132	actress	\N	"[""Holly Sullivan""]"

tt0121533	2	nm0006764	actress	\N	\N

tt0121989	2	nm0474616	actress	\N	"[""Journalist Sanjana Roy""]"

tt0123302	4	nm0038355	actor	\N	\N

tt0123539	2	nm0135865	actress	\N	"[""Rosa""]"

tt0123539	3	nm1161403	actress	\N	\N

tt0123539	6	nm1129916	actress	\N	\N

tt0123736	7	nm1659527	actress	\N	\N

tt0124371	8	nm0885112	actress	\N	\N

tt0124780	1	nm0733726	actress	\N	"[""Ligaya""]"

tt0124780	3	nm0334609	actress	\N	"[""Estela""]"

tt0125058	1	nm0889335	actress	\N	"[""Maddie Morrison (Morrisset, french version)""]"

tt0125058	2	nm0946474	actor	\N	"[""Freddy Green (Freddie Green, french version)""]"

tt0125058	3	nm0193846	actress	\N	"[""Sarah""]"

tt0125344	10	nm1107955	actress	\N	\N

tt0125344	4	nm0434037	actor	\N	\N

tt0125778	4	nm0395078	actor	\N	"[""Andy Yates""]"

tt0125799	2	nm0679150	actress	\N	"[""Alba""]"

tt0127353	3	nm0748338	actress	\N	"[""Marta""]"

tt0127357	2	nm0274255	actress	\N	"[""Christine Stark""]"

tt0127357	3	nm0945457	actress	\N	"[""Yuki""]"

tt0127608	2	nm1301442	actor	\N	"[""Boyfriend""]"

tt0127723	1	nm0001349	actress	\N	"[""Amanda Beckett""]"

tt0127723	2	nm0256121	actor	\N	"[""Preston Meyers""]"

tt0127723	3	nm0001432	actor	\N	"[""William Lichter""]"

tt0127723	4	nm0024404	actress	\N	"[""Denise Fleming""]"

tt0127759	4	nm0548962	actress	\N	"[""Tiger""]"

tt0128033	2	nm0155618	actress	\N	"[""Cindy""]"

tt0128046	3	nm0417924	actress	\N	"[""Alina""]"

tt0128154	2	nm0847879	actor	\N	"[""Jack""]"

tt0128283	1	nm1229619	actor	\N	"[""Father Callow""]"

tt0128302	4	nm0629081	actor	\N	"[""Young boy""]"

tt0129387	1	nm0000139	actress	\N	"[""Mary""]"

tt0130083	9	nm1801967	actress	\N	"[""Elina""]"

tt0130089	1	nm0522550	actress	\N	"[""Lolita""]"

tt0130840	2	nm0755725	actress	\N	"[""Sugina Rinkaiji""]"

tt0131646	1	nm0005327	actor	\N	"[""Lt. Christopher Blair""]"

tt0131646	3	nm0004787	actress	\N	"[""Lt. Cdr. 'Angel' Deveraux""]"

tt0133028	2	nm0947777	actress	\N	"[""Yi Fen""]"

tt0133065	2	nm0659381	actress	\N	"[""Ying Ying""]"

tt0133065	6	nm0538346	actress	\N	"[""Holy Madam""]"

tt0133987	1	nm0001259	actress	\N	"[""Mary Fagan Bailey""]"

tt0134230	3	nm0468511	actress	\N	"[""Rozi,Fikász lánya""]"

tt0134230	4	nm0523796	actress	\N	"[""Lucia""]"

tt0134912	1	nm0001506	actress	\N	"[""Sook Hee"",""Miya""]"

tt0134912	3	nm0000969	actor	\N	"[""Chris Finn""]"

tt0134966	2	nm0574665	actress	\N	"[""Sia""]"

tt0135439	4	nm0245288	actress	\N	\N

tt0136244	1	nm0000701	actress	\N	"[""Julia""]"

tt0136244	2	nm0729763	actress	\N	"[""Bea""]"

tt0136244	3	nm0846548	actor	\N	"[""Bilal""]"

tt0136244	4	nm0611925	actress	\N	"[""Lucy""]"

tt0138288	3	nm0564088	actor	\N	"[""Hardware""]"

tt0138288	4	nm0522373	actor	\N	"[""Matthew""]"

tt0138288	5	nm0528642	writer	\N	\N

tt0138535	10	nm0454955	actress	\N	\N

tt0138535	4	nm0088144	actress	\N	\N

tt0138587	1	nm0150777	actor	\N	"[""Nam""]"

tt0138587	3	nm0155618	actress	\N	"[""Candy""]"

tt0139013	3	nm2450019	actor	\N	"[""Joe""]"

tt0139394	3	nm0004999	actor	\N	"[""Cam""]"

tt0139394	4	nm0566187	actress	\N	"[""Crystal""]"

tt0139877	3	nm0763022	actress	\N	"[""Annetta""]"

tt0139877	8	nm0069168	producer	producer	\N

tt0140345	3	nm0733726	actress	\N	"[""Margarita""]"

tt0140462	1	nm0430005	actor	\N	"[""Poolboy""]"

tt0140879	1	nm0783591	actor	\N	"[""Home jove""]"

tt0141254	3	nm1295795	actor	\N	"[""P. Larratt-Smith""]"

tt0141565	2	nm0344802	actress	\N	\N

tt0143900	1	nm0453489	actor	\N	"[""Rasta Robby""]"

tt0143900	4	nm0525518	actor	\N	"[""Sven""]"

tt0144178	2	nm0608090	actress	\N	"[""Eva""]"

tt0144178	4	nm0743605	actor	\N	"[""Harry""]"

tt0144593	1	nm0458244	actress	\N	\N

tt0145455	1	nm1560239	actress	\N	"[""Lead""]"

tt0145547	1	nm0005132	actor	\N	"[""Jimmy""]"

tt0145937	1	nm0068643	self	\N	"[""Herself""]"

tt0146407	4	nm0178176	actor	\N	"[""Barkley Blue""]"

tt0146985	1	nm0824220	actor	\N	"[""Jeffery""]"

tt0146985	3	nm0854304	actress	\N	"[""Receptionist""]"

tt0147956	3	nm0715529	actress	\N	"[""Mimi""]"

tt0149764	2	nm0224494	actress	\N	\N

tt0149764	6	nm0859552	actress	\N	\N

tt0150280	2	nm0072840	actor	\N	\N

tt0151194	2	nm0529667	actress	\N	\N

tt0151194	4	nm0844469	actor	\N	\N

tt0152095	1	nm0586632	actor	\N	"[""Klavierspieler""]"

tt0152432	1	nm0273143	actor	\N	"[""Goof""]"

tt0152432	4	nm0001176	actress	\N	"[""Kristy""]"

tt0153031	1	nm0005438	actor	\N	"[""Alex Harty""]"

tt0153031	2	nm0599889	actress	\N	"[""Arden Ansfield""]"

tt0153031	4	nm0068755	actress	\N	"[""Zoe Goddard""]"

tt0153321	2	nm2019271	actor	\N	"[""Actor""]"

tt0153758	3	nm0279728	actor	\N	"[""Aaron Arcola""]"

tt0153758	5	nm0864852	director	\N	\N

tt0154968	4	nm0040210	actress	\N	"[""Juri Nijou"",""Oh Yellow""]"

tt0154968	7	nm0766502	actress	\N	"[""Momo Maru"",""Oh Pink""]"

tt0155588	8	nm0158785	actress	\N	\N

tt0155713	3	nm0687771	actor	\N	"[""Richard""]"

tt0155796	2	nm0039591	actress	\N	"[""Sonoko Mannami""]"

tt0156286	9	nm3504466	actor	\N	"[""Pianiste""]"

tt0156575	2	nm0215084	actress	\N	"[""Vivian""]"

