tconst	titleType	primaryTitle	originalTitle	isAdult	startYear	endYear	runtimeMinutes	genres
tt0356910	movie	Mr. & Mrs. Smith	Mr. & Mrs. Smith	0	2005	\N	120	Action,Comedy,Crime

tt0127353	movie	Water Easy Reach	En dag til i solen	0	1998	\N	95	Drama

tt1159577	movie	Shûdan satsujin kurabu: Growing	Shûdan satsujin kurabu: Growing	0	2004	\N	74	Horror

tt1601901	movie	The Voice	Ses	0	2010	\N	97	Horror,Thriller

tt0326441	movie	Yesterday	Yeseuteodei	0	2002	\N	121	Action,Crime,Sci-Fi

tt0471589	movie	Black Jack: Two Doctors in Black	Black Jack: Futari no kuroi isha	0	2005	\N	133	Animation

tt7773704	movie	Vaurien	Vaurien	0	2018	\N	90	Drama

tt2781920	movie	Paragon School for Girls	Paragon School for Girls	0	2013	\N	56	Comedy,Fantasy,Mystery

tt0286482	movie	La bande du drugstore	La bande du drugstore	0	2002	\N	93	Drama,Romance

tt8060296	movie	Offroad	Offroad	0	2018	\N	71	Drama,Fantasy,Mystery

tt0426931	movie	August Rush	August Rush	0	2007	\N	114	Drama,Music

tt1339307	movie	Hellbinders	Hellbinders	0	2009	\N	90	Action,Fantasy,Horror

tt2215207	movie	Camera Shy	Camera Shy	0	2012	\N	91	Comedy

tt1683929	movie	Paradeisiana	Paradeisiana	0	2010	\N	57	Comedy,Romance,Sci-Fi

tt3889156	movie	Dark Beacon	Dark Beacon	0	2017	\N	75	Horror,Thriller

tt1047519	movie	Red Swastik	Red Swastik	0	2007	\N	131	Crime,Drama,Thriller

tt0288243	movie	Taboo	Taboo	0	2002	\N	80	Drama,Horror,Mystery

tt0443435	movie	Autopsy	Autopsy	0	2008	\N	84	Horror,Mystery,Thriller

tt3480662	movie	Flay	Flay	0	2017	\N	94	Drama,Fantasy,Horror

tt5057626	movie	The New York Butcher	The New York Butcher	0	2016	\N	60	Crime,Horror,Mystery

tt8071196	movie	Amnesia Love	Amnesia Love	0	2018	\N	\N	Comedy

tt7374968	movie	Likemeback	Likemeback	0	2018	\N	80	Drama

tt4953758	movie	Chasing Evel: The Robbie Knievel Story	Chasing Evel: The Robbie Knievel Story	0	2017	\N	112	Biography,Documentary,Sport

tt9845564	movie	Bajocero	Bajocero	0	2020	\N	\N	Action,Thriller

tt0110168	movie	It Runs in the Family	It Runs in the Family	0	1994	\N	85	Comedy,Family

tt1510988	movie	A Beer Tale	A Beer Tale	0	2012	\N	76	Comedy

tt1411704	movie	Hop	Hop	0	2011	\N	95	Adventure,Animation,Comedy

tt0191821	movie	The White Suit	Belo odelo	0	1999	\N	90	Comedy,Drama

tt1657507	movie	Colombiana	Colombiana	0	2011	\N	108	Action,Drama,Thriller

tt4857528	movie	Romeo e Giulietta	Romeo e Giulietta	0	2015	\N	56	Documentary

tt3828378	movie	A Childhood	Une enfance	0	2015	\N	99	Drama

tt1326869	movie	Stuck Like Chuck	Stuck Like Chuck	0	2009	\N	86	Comedy,Romance

tt5189440	movie	Tour de France	Tour de France	0	2016	\N	95	Drama

tt2702438	movie	A Beautiful Fucking Experience	A Beautiful Fucking Experience	0	2013	\N	75	Documentary,Music

tt3756418	movie	Ramona y los escarabajos	Ramona y los escarabajos	0	2015	\N	83	Comedy

tt1699513	movie	Beginning of the Great Revival	Jian dang wei ye	0	2011	\N	140	Drama,History

tt3511822	movie	36 Questions	36 Questions	0	2018	\N	\N	Comedy,Drama,Romance

tt0311041	movie	Waiting Alone	Du zi deng dai	0	2004	\N	107	Comedy,Drama,Romance

tt0294638	movie	I Love You	I Love You	0	2001	\N	90	Romance

tt6251504	movie	10 Segundos para Vencer	10 Segundos para Vencer	0	2018	\N	122	Drama,Sport

tt3301182	movie	Parallel Lines	Parallel Lines	0	2014	\N	137	Drama,Fantasy,Sci-Fi

tt0416334	movie	Der Ärgermacher	Der Ärgermacher	0	2003	\N	87	Comedy,Crime,Drama

tt0107995	movie	Frozen Heart	Routasydän	0	1993	\N	83	Drama,Sci-Fi,Thriller

tt0354142	movie	Upside Downtown	Upside Downtown	0	2005	\N	\N	Crime,Horror,Mystery

tt8050610	movie	Locman	Locman	0	2018	\N	90	Drama,Family

tt2731248	movie	Love Cures Cancer: Take a Chance on Love	Love Cures Cancer: Take a Chance on Love	0	2009	\N	81	Documentary

tt3793648	movie	Megachurch Murder	Megachurch Murder	0	2015	\N	88	Drama,Mystery,Thriller

tt3020284	movie	The Passion of Miss Augusta	The Passion of Miss Augusta	0	2013	\N	58	Biography,History,Romance

tt1259611	movie	Wasters	Wasters	0	2009	\N	\N	Drama

tt0275468	movie	The Last Minute	The Last Minute	0	2001	\N	104	Drama,Mystery,Thriller

tt0483259	movie	I fratelli d'Italia	I fratelli d'Italia	0	2005	\N	109	Drama

tt9030294	movie	Maanagara Kaaval	Maanagara Kaaval	0	1991	\N	150	Action,Drama

tt2910520	movie	A Wedding Invitation	Fen shou he yue	0	2013	\N	101	Drama,Romance

tt2151140	movie	God Bless Vegas	God Bless Vegas	0	2012	\N	80	Biography,Comedy,Documentary

tt10685470	movie	Chetana	Chetana	0	2016	\N	\N	Drama

tt1483324	movie	At Middleton	At Middleton	0	2013	\N	99	Comedy,Romance

tt1887923	movie	Ambush at Dark Canyon	Dark Canyon	0	2012	\N	90	Western

tt1419366	movie	Roswell	Roswell	0	2007	\N	45	Mystery,Sci-Fi

tt1323959	movie	Suitable for Murder	Suitable for Murder	0	2008	\N	90	Action,Crime,Thriller

tt2146882	movie	Badha	Badha	0	2005	\N	136	Action,Drama,Romance

tt4453286	movie	Soue Tafahom	Soue Tafahom	0	2015	\N	120	Comedy,Romance

tt5728662	movie	Boulevard Voltaire	Bd. Voltaire	0	2017	\N	110	Drama

tt2364841	movie	Runner Runner	Runner Runner	0	2013	\N	88	Crime,Thriller

tt2790192	movie	Royal Crown and a Moon Pie: The David Beebe Story	Royal Crown and a Moon Pie: The David Beebe Story	0	2012	\N	85	Biography,Documentary,Music

tt11197712	movie	A Night Before Xmas	A Night Before Xmas	0	2020	\N	75	Animation,Family

tt1745651	movie	5th & Alameda	5th & Alameda	0	2011	\N	123	Drama,Thriller

tt2651326	movie	Our Way	Fason Nou	0	2014	\N	90	Drama,Horror,Thriller

tt2027250	movie	The Vanishing	The Vanishing	0	2011	\N	71	Mystery,Thriller

tt4416012	movie	Jogajog	Jogajog	0	2015	\N	138	Drama

tt2017711	movie	How We Got Away with It	How We Got Away with It	0	2014	\N	90	Drama,Mystery,Thriller

tt3837180	movie	Njan	Njan	0	2014	\N	160	Drama

tt10623658	movie	Xira	Xira	0	2019	\N	129	Action,Crime

tt0133065	movie	Erotic Ghost Story: Perfect Match	Liu jai yim tam ji yau kau	0	1997	\N	\N	\N

tt2663744	movie	Assassins Tale	Assassins Tale	0	2013	\N	92	Action,Crime,Thriller

tt1127896	movie	Taking Woodstock	Taking Woodstock	0	2009	\N	120	Biography,Comedy,Drama

